symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data,required_lookback_ready_for_2024_01_01,status,reason
KOPOL,2023-04-13,2026-05-08,408,1,1,1,1,ok,
KORDS,2021-01-06,2026-05-08,698,1,1,1,1,ok,
KOTON,2024-05-10,2026-05-08,263,1,1,1,0,ok,
KRDMA,2021-01-06,2026-05-08,698,1,1,1,1,ok,
KRDMB,2021-01-06,2026-05-08,698,1,1,1,1,ok,
KRDMD,2021-01-06,2026-05-08,698,1,1,1,1,ok,
KRGYO,2021-01-06,2026-05-08,698,1,1,1,1,ok,
KRONT,2021-01-06,2026-05-08,698,1,1,1,1,ok,
KRPLS,2022-07-28,2026-05-08,509,1,1,1,1,ok,
KRSTL,2021-01-06,2026-05-08,698,1,1,1,1,ok,
KRTEK,2021-01-06,2026-05-08,698,1,1,1,1,ok,
KRVGD,2021-01-06,2026-05-08,698,1,1,1,1,ok,
KTLEV,2023-06-12,2026-05-08,372,1,1,1,1,ok,
KTSKR,2021-07-08,2026-05-08,623,1,1,1,1,ok,
KUTPO,2021-01-06,2026-05-08,698,1,1,1,1,ok,
KUVVA,2021-01-06,2026-05-08,698,1,1,1,1,ok,
KUYAS,2021-01-06,2026-05-08,703,1,1,1,1,ok,
KZBGY,2021-08-12,2026-05-08,580,1,1,1,1,ok,
KZGYO,2023-08-29,2026-05-08,351,1,1,1,1,ok,
LIDER,2022-04-04,2026-05-08,543,1,1,1,1,ok,
LIDFA,2021-01-06,2026-05-08,698,1,1,1,1,ok,
LILAK,2024-05-09,2026-05-08,260,1,1,1,0,ok,
LINK,2021-01-06,2026-05-08,698,1,1,1,1,ok,
LKMNH,2021-01-06,2026-05-08,698,1,1,1,1,ok,
LMKDC,2024-02-22,2026-05-08,287,1,1,1,0,ok,
LOGO,2021-01-06,2026-05-08,698,1,1,1,1,ok,
LRSHO,2021-01-06,2026-05-08,698,1,1,1,1,ok,
LUKSK,2021-01-06,2026-05-08,698,1,1,1,1,ok,
LXGYO,2026-03-10,2026-05-08,13,0,0,1,0,ok,
LYDHO,2021-01-06,2026-05-08,698,1,1,1,1,ok,
LYDYE,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MAALT,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MACKO,2023-01-26,2026-05-08,435,1,1,1,1,ok,
MAGEN,2021-09-30,2026-05-08,578,1,1,1,1,ok,
MAKIM,2022-06-17,2026-05-08,492,1,1,1,1,ok,
MAKTK,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MANAS,2021-07-27,2026-05-08,612,1,1,1,1,ok,
MARBL,2023-11-08,2026-05-08,308,1,1,1,1,ok,
MARKA,2021-01-06,2026-05-08,694,1,1,1,1,ok,
MARMR,2025-09-16,2026-05-08,80,0,1,1,0,ok,
MARTI,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MAVI,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MCARD,2026-03-11,2026-05-08,11,0,0,1,0,ok,
MEDTR,2021-07-02,2026-05-08,611,1,1,1,1,ok,
MEGMT,2023-12-15,2026-05-08,285,1,1,1,1,ok,
MEKAG,2023-10-12,2026-05-08,336,1,1,1,1,ok,
MEPET,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MERCN,2021-05-27,2026-05-08,603,1,1,1,1,ok,
MERIT,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MERKO,2021-01-06,2026-05-08,698,1,1,1,1,ok,
METRO,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MEYSU,2026-01-13,2026-05-08,36,0,0,1,0,ok,
MGROS,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MHRGY,2023-10-18,2026-05-08,321,1,1,1,1,ok,
MIATK,2021-11-22,2026-05-08,562,1,1,1,1,ok,
MNDRS,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MNDTR,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MOBTL,2021-11-25,2026-05-08,567,1,1,1,1,ok,
MOGAN,2024-03-07,2026-05-08,282,1,1,1,0,ok,
MOPAS,2025-01-29,2026-05-08,156,0,1,1,0,ok,
MPARK,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MRGYO,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MRSHL,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MSGYO,2021-01-06,2026-05-08,698,1,1,1,1,ok,
MTRKS,2021-04-06,2026-05-08,634,1,1,1,1,ok,
MZHLD,2021-01-06,2026-05-08,698,1,1,1,1,ok,
NATEN,2021-01-06,2026-05-08,698,1,1,1,1,ok,
NETAS,2021-01-06,2026-05-08,698,1,1,1,1,ok,
NETCD,2026-02-05,2026-05-08,14,0,0,1,0,ok,
NIBAS,2021-01-06,2026-05-08,703,1,1,1,1,ok,
NTGAZ,2021-04-01,2026-05-08,663,1,1,1,1,ok,
NTHOL,2021-01-06,2026-05-08,698,1,1,1,1,ok,
NUGYO,2021-01-06,2026-05-08,698,1,1,1,1,ok,
NUHCM,2021-01-06,2026-05-08,698,1,1,1,1,ok,
OBAMS,2024-03-01,2026-05-08,292,1,1,1,0,ok,
OBASE,2022-08-03,2026-05-08,508,1,1,1,1,ok,
ODAS,2021-01-06,2026-05-08,1336,1,1,1,1,ok,
ODINE,2024-03-21,2026-05-08,532,1,1,1,0,ok,
OFSYM,2023-08-16,2026-05-08,686,1,1,1,1,ok,
ONCSM,2023-01-04,2026-05-08,835,1,1,1,1,ok,
ONRYT,2024-05-28,2026-05-08,489,1,1,1,0,ok,
ORCAY,2021-09-02,2026-05-08,1175,1,1,1,1,ok,
ORGE,2021-01-06,2026-05-08,1336,1,1,1,1,ok,
OSMEN,2021-01-06,2026-05-08,1336,1,1,1,1,ok,
OSTIM,2021-01-06,2026-05-08,1336,1,1,1,1,ok,
OTKAR,2021-01-06,2026-05-08,1336,1,1,1,1,ok,
OTTO,2021-01-06,2026-05-08,1336,1,1,1,1,ok,
OYAKC,2021-01-06,2026-05-08,1336,1,1,1,1,ok,
OYLUM,2021-01-06,2026-05-08,1336,1,1,1,1,ok,
OYYAT,2021-06-10,2026-05-08,1229,1,1,1,1,ok,
OZATD,2024-09-05,2026-05-08,422,1,1,1,0,ok,
OZGYO,2021-01-06,2026-05-08,1336,1,1,1,1,ok,
