symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data
ICBCT,2021-01-06,2026-05-08,344,True,True,True
ICUGS,2021-01-06,2026-05-08,344,True,True,True
IDGYO,2021-01-06,2026-05-08,344,True,True,True
IEYHO,2021-01-06,2026-05-08,344,True,True,True
IHAAS,2021-11-03,2026-05-08,267,True,True,True
IHEVA,2021-01-06,2026-05-08,344,True,True,True
IHGZT,2021-01-06,2026-05-08,344,True,True,True
IHLAS,2021-01-06,2026-05-08,344,True,True,True
IHLGM,2021-01-06,2026-05-08,344,True,True,True
IHYAY,2021-01-06,2026-05-08,344,True,True,True
IMASM,2022-04-29,2026-05-08,225,True,True,True
INDES,2021-01-06,2026-05-08,344,True,True,True
INFO,2021-01-06,2026-05-08,344,True,True,True
INGRM,2021-01-06,2026-05-08,344,True,True,True
INTEM,2021-01-06,2026-05-08,344,True,True,True
INVEO,2021-01-06,2026-05-08,344,True,True,True
INVES,2022-03-01,2026-05-08,286,True,True,True
ISBTR,2021-01-06,2026-05-08,363,True,True,True
ISCTR,2021-01-06,2026-05-08,344,True,True,True
ISDMR,2021-01-06,2026-05-08,334,True,True,True
ISFIN,2021-01-06,2026-05-08,344,True,True,True
ISGSY,2021-01-06,2026-05-08,344,True,True,True
ISGYO,2021-01-06,2026-05-08,344,True,True,True
ISKPL,2021-01-28,2026-05-08,353,True,True,True
ISMEN,2021-01-06,2026-05-08,344,True,True,True
ISSEN,2021-11-18,2026-05-08,296,True,True,True
IZENR,2023-08-16,2026-05-08,181,True,True,True
IZFAS,2021-01-06,2026-05-08,344,True,True,True
IZINV,2021-01-06,2026-05-08,344,True,True,True
IZMDC,2021-01-06,2026-05-08,344,True,True,True
JANTS,2021-01-06,2026-05-08,344,True,True,True
KAPLM,2021-01-06,2026-05-08,344,True,True,True
KAREL,2021-01-06,2026-05-08,344,True,True,True
KARSN,2021-01-06,2026-05-08,344,True,True,True
KARTN,2021-01-06,2026-05-08,344,True,True,True
KATMR,2021-01-06,2026-05-08,338,True,True,True
KAYSE,2023-05-18,2026-05-08,172,True,True,True
KBORU,2023-12-14,2026-05-08,146,True,True,True
KCAER,2022-06-30,2026-05-08,241,True,True,True
KCHOL,2021-01-06,2026-05-08,344,True,True,True
KFEIN,2021-01-06,2026-05-08,344,True,True,True
KGYO,2021-01-06,2026-05-08,344,True,True,True
KIMMR,2021-09-22,2026-05-08,271,True,True,True
KLGYO,2021-01-06,2026-05-08,344,True,True,True
KLKIM,2021-05-18,2026-05-08,300,True,True,True
KLMSN,2021-01-06,2026-05-08,344,True,True,True
KLRHO,2022-07-07,2026-05-08,251,True,True,True
KLSER,2023-07-27,2026-05-08,186,True,True,True
KLSYN,2022-03-04,2026-05-08,285,True,True,True
KLYPV,2025-02-13,2026-05-08,141,False,True,True
